"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Dec 2021",104.676484161021,61.5539605761422,147.7990077459,38.7262755067753,170.626692815267
"Jan 2022",103.122237134819,48.3620608734976,157.88241339614,19.373774611077,186.87069965856
"Feb 2022",78.1010809507458,17.3023741181847,138.899787783307,-14.8825171363043,171.084679037796
"Mar 2022",48.6237465227673,-15.5942043374029,112.841697382937,-49.5891340439305,146.836627089465
"Apr 2022",34.5592849496255,-31.6660916052036,100.784661504455,-66.7236882836127,135.842258182864
"May 2022",25.0961863185918,-42.3293875114131,92.5217601485966,-78.022330248939,128.214702886123
"Jun 2022",25.2686986965666,-42.8816537630518,93.419051156185,-78.9582711310584,129.495668524192
"Jul 2022",24.0028664958667,-44.5876885516617,92.593421543395,-80.8973350934769,128.90306808521
"Aug 2022",28.0415653039234,-40.8172589774185,96.9003895852653,-77.2689186732469,133.352049281094
"Sep 2022",38.0409650265765,-30.9816800594277,107.063610112581,-67.5200612507938,143.601991303947
"Oct 2022",57.428282848346,-11.6945226767557,126.551088373448,-48.2859256017786,163.142491298471
"Nov 2022",96.6243979737845,27.4403097872038,165.808486160365,-9.18353421918829,202.432330166757
"Dec 2022",120.439658004744,51.1500792801984,189.72923672929,14.4703919562482,226.40892405324
"Jan 2023",114.50932900445,45.1552140462477,183.863443962653,8.44136330385584,220.577294705045
"Feb 2023",88.6751402968987,19.2815161583184,158.068764435479,-17.4532494807916,194.803530074589
"Mar 2023",57.6005340715808,-11.8172814917352,127.018349634897,-48.5648532975381,163.7659214407
"Apr 2023",40.4224599276785,-29.0101706193019,109.855090474659,-65.7655850037224,146.610504859079
"May 2023",29.6138073913787,-39.8278968782708,99.0555116610282,-76.5881146013245,135.815729384082
"Jun 2023",27.7345853984287,-41.7126765257928,97.1818473226503,-78.4758362934613,133.945007090319
"Jul 2023",25.0914441698736,-44.3592218053016,94.5421101450488,-81.1241835686947,131.307071908442
"Aug 2023",28.5186701620411,-40.9340805921581,97.9714209162404,-77.7001459709022,134.737486294984
"Sep 2023",38.0607880980259,-31.393239076342,107.514815272394,-68.1599801511077,144.281556347159
"Oct 2023",56.2455411116457,-13.2092669094814,125.700349132773,-49.9764213395525,162.467503562844
"Nov 2023",91.3248403247019,21.8695556937331,160.780124955671,-14.8978510383476,197.547531687751
"Dec 2023",117.978014196073,48.2296606381412,187.726367754006,11.3071125875063,224.64891580464
"Jan 2024",112.072038024847,42.1447690732806,181.999306976414,5.12750893438148,219.016567115313
"Feb 2024",85.5306062995777,15.4939579357598,155.567254663396,-21.5812041663913,192.642416765547
"Mar 2024",54.431045941084,-15.6725218232873,124.534613705455,-52.7831089162291,161.645200798397
"Apr 2024",37.7981452991052,-32.34638441422,107.94267501243,-69.4786554531095,145.07494605132
"May 2024",26.902804136263,-43.266806175324,97.07241444785,-80.4123540809383,134.217962353464
"Jun 2024",25.5085735490505,-44.6763960740447,95.6935431721457,-81.8300747080312,132.847221806132
"Jul 2024",23.0835629209526,-47.1108136090197,93.277939450925,-84.269471958705,130.43659780061
"Aug 2024",26.5349860795019,-43.6651519062277,96.7351240652315,-80.8268601863585,133.896832345362
"Sep 2024",36.221791039887,-33.9818753966381,106.425457476412,-71.1454515257917,143.589033605566
"Oct 2024",54.8884891026821,-15.3173376091125,125.094315814477,-52.4820573189153,162.259035524279
"Nov 2024",91.5962793784232,21.3891311492788,161.803427607568,-15.7762881295513,198.968846886398
"Dec 2024",116.124494345354,45.7618556850567,186.48713300565,8.51412474404712,223.73486394666
"Jan 2025",110.241457129644,39.7837435145126,180.699170744775,2.48568293259805,217.99723132669
"Feb 2025",84.2179192087626,13.7020227756982,154.733815641827,-23.6268379295351,192.06267634706
"Mar 2025",53.1089504243566,-17.4425639524156,123.660464801129,-54.790279658103,161.008180506816
"Apr 2025",36.0709154711831,-34.5024088396897,106.644239782056,-71.8616700270802,144.003500969446
"May 2025",25.2527444915331,-45.3339367469827,95.8394257300489,-82.7002686647567,133.205757647823
"Jun 2025",23.4847845618865,-47.1100774775853,94.0796466013582,-84.4807400497903,131.450309173563
"Jul 2025",20.8974727523072,-49.7023999785604,91.4973454831749,-87.0757150505649,128.870660555179
"Aug 2025",24.3260008364878,-46.2769407770583,94.928942450034,-83.6518804174201,132.303882090396
"Sep 2025",33.8826860101138,-36.7221348313105,104.487506851538,-74.0980692748194,141.863441295047
"Oct 2025",52.1676876906328,-18.4382832523448,122.77365863361,-55.8148265228396,160.150201904105
"Nov 2025",87.6437093835709,17.0370356381105,158.250383129031,-20.3398796735453,195.627298440687
"Dec 2025",113.881766086825,43.0235810112332,184.739951162416,5.51352364391096,222.250008529739
"Jan 2026",107.966979170968,36.955169260346,178.97878908159,-0.63621218222444,216.570170524161
"Feb 2026",81.5164328346176,10.4106742589256,152.62219141031,-27.2304406027635,190.263306271999
"Mar 2026",50.4108915347767,-20.752356894192,121.574139963745,-58.4239050458695,159.245688115423
"Apr 2026",33.6962244891733,-37.5022181353426,104.894667113689,-75.192396968748,142.584845947095
"May 2026",22.8107822385195,-48.4092109917453,94.0307754687843,-86.1107980267168,131.732362503756
"Jun 2026",21.3436057392244,-49.8895856067701,92.576797085219,-87.5981593021766,130.285370780625
"Jul 2026",18.8854687480521,-52.355806055548,90.1267435516522,-90.0686588749285,127.839596371033
"Aug 2026",22.331074361997,-48.9151513563034,93.5773000802973,-86.6306250316122,131.292773755606
"Sep 2026",31.9933986514393,-39.2558590739815,103.24265637686,-76.9729377969062,140.959735099785
"Oct 2026",50.588251107989,-20.6628628285211,121.839365044499,-58.3809241702411,159.557426386219
"Nov 2026",87.0629654708973,15.8107162330863,158.315214708708,-21.9079461008392,196.033877042634
"Dec 2026",111.905470393246,40.4839531949634,183.326987591528,2.6756858153971,221.135254971095
"Jan 2027",106.016941379555,34.4919376966,177.541945062509,-3.37111211879446,215.404994877904
"Feb 2027",79.9150140437725,8.32668545571495,151.50334263183,-29.5698865395188,189.399914627064
"Mar 2027",48.8066261450318,-22.8204663783728,120.433718668436,-60.737558761436,158.3508110515
"Apr 2027",31.8280788144912,-39.8227493380606,103.478906967043,-77.7524066042071,141.40856423319
"May 2027",20.9976621632491,-50.6677020072572,92.6630263337554,-88.6050541764947,130.600378502993
"Jun 2027",19.2849486083347,-52.3893184448033,90.9592156614726,-90.3313835154212,128.90128073209
"Jul 2027",16.7214046195516,-54.9583153827376,88.4011246218408,-92.9032670702687,126.346076309372
"Aug 2027",20.1530724131782,-51.5299873649679,91.8361321913242,-89.4767070230426,129.782851849399
"Sep 2027",29.7290789206169,-41.956026024615,101.414183865849,-79.9038283287472,139.361986169981
"Oct 2027",48.0709171576907,-23.6154395463014,119.757273861683,-61.5639044914942,157.705738806876
"Nov 2027",83.7303573058373,12.0432355110836,155.417479100591,-25.9056344486932,193.366349060368
"Dec 2027",109.712625514639,37.7935089961044,181.631742033173,-0.278171552013831,219.703422581291
"Jan 2028",103.802599440795,31.7417423782323,175.863456503358,-6.40497108149819,214.010169963089
"Feb 2028",77.4159129979634,5.26836102930159,149.563464966625,-32.9242459414997,187.756071937427
"Mar 2028",46.309835880697,-25.8907722725297,118.510444033924,-64.1114654908774,156.731137252271
"Apr 2028",29.5467926488333,-42.6862974004725,101.779882698139,-80.9241854959403,140.017770793607
"May 2028",18.6714159260144,-53.5815646057889,90.9243964578176,-91.8299820866585,129.172813938687
"Jun 2028",17.1592361094832,-55.1059260974375,89.424398316404,-93.3607921675845,127.679264386551
"Jul 2028",14.6817738607085,-57.5908493499423,86.9543970713594,-95.8496650368857,125.213212758303
"Aug 2028",18.1248200417395,-54.1523728603997,90.4020129438788,-92.4136075958933,128.663247679372
"Sep 2028",27.7713279234961,-44.508663495208,100.0513193422,-82.7713796758837,138.314035522876
"Oct 2028",46.3198170684819,-25.96188755967,118.601521696634,-64.2255106586445,156.865144795608
"Nov 2028",82.6451300422403,10.3623776764082,154.927882408072,-27.9018000613911,193.192060145872
"Dec 2028",107.696460318465,35.2360176304984,180.156903006431,-3.12222368188669,218.515144318816
"Jan 2029",101.803994558341,29.2349229922235,174.373066124459,-9.18082297466053,212.788812091343
"Feb 2029",75.6498950387553,3.01435486197626,148.285435215534,-35.4365774619444,186.736367539455
"Mar 2029",44.541930534342,-28.1342969779512,117.218158046635,-66.606767876246,155.69062894493
"Apr 2029",27.6028677771983,-45.098272714296,100.304008268693,-83.5839317471447,138.789667301541
"May 2029",16.7642143125058,-55.9521830870378,89.4806117120494,-94.4459186391421,127.974347264154
"Jun 2029",15.0882420285433,-57.6374997338478,87.8139837909344,-96.1361818928415,126.312665949928
"Jul 2029",12.540469935557,-60.1909951740866,85.2719350452005,-98.6927070901019,123.773646961216
"Aug 2029",15.9742225233877,-56.7607479894938,88.7091930362691,-95.264315553892,127.212760600667
"Sep 2029",25.5631457636388,-47.1739713768401,98.3002629041177,-85.6786752972464,136.804966824524
"Oct 2029",43.9428456389613,-28.7955854219062,116.681276699829,-67.3009848897512,155.186676167674
"Nov 2029",79.7242848657266,6.98505061749567,152.463519113958,-31.5207740320563,190.96934376351
"Dec 2029",105.535991962867,32.5781489407961,178.493834984938,-6.04340020323716,217.115384128971
